Restaurant ID,City,Country,Latitude,Longitude,region_cluster
17334348,Dalton,United States,34.474635,-84.926258,1
17334213,Dalton,United States,34.4972488,-84.9523921,1
17334355,Dalton,United States,34.752476,-84.767911,1
17334212,Dalton,United States,34.769686,-84.969393,1
17333797,Dalton,United States,34.7643,-85.0039,1
17334217,Dalton,United States,34.759551,-84.992342,1
17334273,Dalton,United States,34.759665,-84.992924,1
17334254,Dalton,United States,34.758645,-84.999678,1
17333836,Dalton,United States,34.7742,-84.9678,1
17334197,Dalton,United States,34.759273,-84.990925,1
17333882,Dalton,United States,34.7604,-84.9964,1
17334211,Dalton,United States,34.9428786,-85.2229101,1
17334390,Dalton,United States,34.9528157,-85.246237,1
17334034,Dalton,United States,34.9546,-85.2545,1
17334414,Dalton,United States,34.705093,-85.294955,1
17334082,Dalton,United States,34.9273,-85.1321,1
17334364,Dalton,United States,34.912109,-85.130492,1
17334398,Dalton,United States,34.9151853,-85.1079396,1
17334219,Dalton,United States,34.851907,-85.249727,1
17335173,Davenport,United States,41.574935,-90.496986,1
17335195,Davenport,United States,41.53845,-90.522479,1
17335225,Davenport,United States,41.5747801,-90.4912446,1
17335219,Davenport,United States,41.548746,-90.504176,1
17334965,Davenport,United States,41.525384,-90.50709,1
17335189,Davenport,United States,41.593892,-90.574088,1
17335156,Davenport,United States,41.574459,-90.565837,1
17334717,Davenport,United States,41.5604,-90.5716,1
17334752,Davenport,United States,41.5223,-90.5737,1
18453427,Davenport,United States,41.52253634,-90.59466452,1
17793744,Davenport,United States,41.5709434,-90.5154313,1
17334679,Davenport,United States,41.5699,-90.5683,1
17334718,Davenport,United States,41.5749,-90.5321,1
17334763,Davenport,United States,41.5747,-90.5432,1
17335158,Davenport,United States,41.520389,-90.572418,1
17334782,Davenport,United States,41.5745,-90.5137,1
17334846,Davenport,United States,41.559,-90.5686,1
17334853,Davenport,United States,41.5944,-90.6136,1
17335168,Davenport,United States,41.570997,-90.515175,1
17334958,Davenport,United States,41.5747,-90.517,1
17258496,Des Moines,United States,42.010254,-93.610084,1
17259395,Des Moines,United States,42.048779,-93.643094,1
17258350,Des Moines,United States,41.614965,-93.677638,1
17258136,Des Moines,United States,41.600564,-93.739573,1
17258522,Des Moines,United States,41.60028,-93.760027,1
17259958,Des Moines,United States,41.583309,-93.627896,1
17258036,Des Moines,United States,41.5857431,-93.6300803,1
17259368,Des Moines,United States,41.585465,-93.621631,1
17257684,Des Moines,United States,41.587219,-93.637401,1
17258154,Des Moines,United States,41.58536,-93.620726,1
17259340,Des Moines,United States,41.584027,-93.629436,1
17259243,Des Moines,United States,41.590819,-93.611366,1
17259625,Des Moines,United States,41.590106,-93.61474,1
17259169,Des Moines,United States,41.601415,-93.577383,1
17259166,Des Moines,United States,41.545869,-93.645245,1
17259335,Des Moines,United States,41.6714654,-93.6976773,1
17259248,Des Moines,United States,41.603901,-93.659797,1
17258552,Des Moines,United States,41.615083,-93.772033,1
17259550,Des Moines,United States,41.594039,-93.73624,1
17259200,Des Moines,United States,41.5991771,-93.7441981,1
16615894,Dicky Beach,Australia,-26.783576,153.137401,3
17342816,Dubuque,United States,42.504759,-90.667668,1
17342498,Dubuque,United States,42.5124724,-90.6499328,1
17342648,Dubuque,United States,42.5032004,-90.6684746,1
17342781,Dubuque,United States,42.496464,-90.658609,1
17342799,Dubuque,United States,42.495689,-90.664029,1
